generation_id,source_id,model,prompt_condition,output_headline,source_relevance,local_specificity,topic_nuance_target,satirical_bite,coherence_nonrandomness,failure_tags,notes,scorer
local_satire_741e912618,deltopia_alternative_001,gemini-3.5-flash,generic_issue,"Isla Vista Officials Hope To Recreate Magic Of Deltopia With Fenced-In Parking Lot, Two Food Trucks, And 9:00 PM Curfew",,,,,,,,
local_satire_52753cc1ac,deltopia_alternative_001,gemini-3.5-flash,source_grounded,"Isla Vista Officials Confident $250,000 Government-Sanctioned ‘Novatopia’ Will Successfully Capture Carefree Spirit of Unregulated Street Party",,,,,,,,
local_satire_cf4b8f09a1,deltopia_alternative_001,gemini-3.5-flash,target_first_rank,"IVCSD Promises Proposed 'Novatopia' Festival Will Have All the Thrills of Deltopia Plus a $250,000 Wristband-Verification Queue",,,,,,,,
local_satire_cbb8a9277c,deltopia_alternative_001,gpt-5.4-mini,generic_issue,"Isla Vista Officials Announce Safer, More Controlled Deltopia Where Students Can Still Make Terrible Decisions in Designated Areas",,,,,,,,
local_satire_6f68b8073b,deltopia_alternative_001,gpt-5.4-mini,source_grounded,"Isla Vista Officials Unveil $250,000 Plan to Replace Deltopia With More Permitted Deltopia",,,,,,,,
local_satire_5ddb8d52ff,deltopia_alternative_001,gpt-5.4-mini,target_first_rank,"Isla Vista Officials Announce Deltopia Replacement That Is Somehow Even More Organized, Expensive, and Deltopia-Like",,,,,,,,
local_satire_62380deb8a,ucsb_bear_sighting_001,gemini-3.5-flash,generic_issue,UCSB Administrators Assure Students That Bear Sighted Near Campus Lacks the GPA Required to Enter Davidson Library,,,,,,,,
local_satire_f55ff3cd95,ucsb_bear_sighting_001,gemini-3.5-flash,source_grounded,UCSB Emergency Alert Warns Students To Treat Bear With Same Avoidance Tactics Used For Campus Recruiters,,,,,,,,
local_satire_a5d4395858,ucsb_bear_sighting_001,gemini-3.5-flash,target_first_rank,"UCPD Warns Students Facing Black Bear Near Pollock Theater To Make Themselves Look Like A Large, Threatening Midterm Curve**",,,,,,,,
local_satire_cc047b1f97,ucsb_bear_sighting_001,gpt-5.4-mini,generic_issue,"UCSB Issues Bear Alert, Reassures Students the Real Danger Is Still Finding Parking in Goleta",,,,,,,,
