id,source_id,model,prompt_condition,prompt,output_headline,raw_output,timestamp
local_satire_741e912618,deltopia_alternative_001,gemini-3.5-flash,generic_issue,"Write one Onion-style local satire headline about this issue:
Issue: Isla Vista officials planning a managed alternative to Deltopia
The headline should be funny, locally specific, and have a clear satirical target.
Output only one headline.","Isla Vista Officials Hope To Recreate Magic Of Deltopia With Fenced-In Parking Lot, Two Food Trucks, And 9:00 PM Curfew","Isla Vista Officials Hope To Recreate Magic Of Deltopia With Fenced-In Parking Lot, Two Food Trucks, And 9:00 PM Curfew",2026-06-08T03:11:59.626965+00:00
local_satire_52753cc1ac,deltopia_alternative_001,gemini-3.5-flash,source_grounded,"Write one Onion-style local satire headline based on the source below.

Source title:
IVCSD elects new leadership, discusses plans for Deltopia alternative

Facts:
* The Isla Vista Community Services District discussed plans for an alternative event to Deltopia after Santa Barbara County adopted a noise ordinance that effectively canceled the unsanctioned street festival.
* The proposed alternative event, working-named Novatopia, would include live music, art, markets, beer gardens, bathrooms, safety resources and multiple entertainment zones across downtown Isla Vista.
* IVCSD staff discussed wristbands for Isla Vista residents, event-lead applications, permits, safety planning, sponsorships and a budget above $250,000.
* One community member argued that if IVCSD hosts a festival on Deltopia weekend, it would effectively become Deltopia itself.
* The board also addressed parking compliance software and broader community governance issues at the same meeting.

Local tension:
Officials are trying to replace an unofficial student party tradition with a planned, permitted, safety-oriented event, while some community members worry the alternative may reproduce similar crowd and party dynamics.

Requirements:
* clearly grounded in the source issue
* specific to UCSB, Isla Vista, or Santa Barbara when appropriate
* clear satirical target
* avoid random absurdity
* avoid inventing facts not implied by the source
* output only one headline.","Isla Vista Officials Confident $250,000 Government-Sanctioned ‘Novatopia’ Will Successfully Capture Carefree Spirit of Unregulated Street Party","Isla Vista Officials Confident $250,000 Government-Sanctioned ‘Novatopia’ Will Successfully Capture Carefree Spirit of Unregulated Street Party",2026-06-08T03:12:00.852590+00:00
local_satire_cf4b8f09a1,deltopia_alternative_001,gemini-3.5-flash,target_first_rank,"Write source-grounded Onion-style local satire from this campus/local source capsule.

Source title:
IVCSD elects new leadership, discusses plans for Deltopia alternative

Source date:
2026-01-22

Issue phrase:
Isla Vista officials planning a managed alternative to Deltopia

Facts:
* The Isla Vista Community Services District discussed plans for an alternative event to Deltopia after Santa Barbara County adopted a noise ordinance that effectively canceled the unsanctioned street festival.
* The proposed alternative event, working-named Novatopia, would include live music, art, markets, beer gardens, bathrooms, safety resources and multiple entertainment zones across downtown Isla Vista.
* IVCSD staff discussed wristbands for Isla Vista residents, event-lead applications, permits, safety planning, sponsorships and a budget above $250,000.
* One community member argued that if IVCSD hosts a festival on Deltopia weekend, it would effectively become Deltopia itself.
* The board also addressed parking compliance software and broader community governance issues at the same meeting.

Local tension:
Officials are trying to replace an unofficial student party tradition with a planned, permitted, safety-oriented event, while some community members worry the alternative may reproduce similar crowd and party dynamics.

Step 1: identify the satirical target in one short phrase.
Step 2: generate 5 candidate Onion-style local satire headlines.
Step 3: select the best using source relevance, local specificity, topic nuance/target, satirical bite, and coherence/non-randomness.

Output only:
Target: ...
Best headline: ...
Brief reason: ...","IVCSD Promises Proposed 'Novatopia' Festival Will Have All the Thrills of Deltopia Plus a $250,000 Wristband-Verification Queue","Target: The municipal attempt to sanitize and over-regulate a chaotic, unsanctioned student party tradition.

Best headline: IVCSD Promises Proposed 'Novatopia' Festival Will Have All the Thrills of Deltopia Plus a $250,000 Wristband-Verification Queue

Brief reason: This headline perfectly captures the satirical target by contrasting the organic, lawless appeal of the original Deltopia street party with the bureaucratized, budget-heavy reality of a government-managed alternative. It highlights the local tension of officials spending over a quarter-million dollars to replace a free student tradition with security checkpoints, wristbands, and municipal oversight.",2026-06-08T03:12:02.714185+00:00
local_satire_cbb8a9277c,deltopia_alternative_001,gpt-5.4-mini,generic_issue,"Write one Onion-style local satire headline about this issue:
Issue: Isla Vista officials planning a managed alternative to Deltopia
The headline should be funny, locally specific, and have a clear satirical target.
Output only one headline.","Isla Vista Officials Announce Safer, More Controlled Deltopia Where Students Can Still Make Terrible Decisions in Designated Areas","Isla Vista Officials Announce Safer, More Controlled Deltopia Where Students Can Still Make Terrible Decisions in Designated Areas",2026-06-08T03:12:04.389831+00:00
local_satire_6f68b8073b,deltopia_alternative_001,gpt-5.4-mini,source_grounded,"Write one Onion-style local satire headline based on the source below.

Source title:
IVCSD elects new leadership, discusses plans for Deltopia alternative

Facts:
* The Isla Vista Community Services District discussed plans for an alternative event to Deltopia after Santa Barbara County adopted a noise ordinance that effectively canceled the unsanctioned street festival.
* The proposed alternative event, working-named Novatopia, would include live music, art, markets, beer gardens, bathrooms, safety resources and multiple entertainment zones across downtown Isla Vista.
* IVCSD staff discussed wristbands for Isla Vista residents, event-lead applications, permits, safety planning, sponsorships and a budget above $250,000.
* One community member argued that if IVCSD hosts a festival on Deltopia weekend, it would effectively become Deltopia itself.
* The board also addressed parking compliance software and broader community governance issues at the same meeting.

Local tension:
Officials are trying to replace an unofficial student party tradition with a planned, permitted, safety-oriented event, while some community members worry the alternative may reproduce similar crowd and party dynamics.

Requirements:
* clearly grounded in the source issue
* specific to UCSB, Isla Vista, or Santa Barbara when appropriate
* clear satirical target
* avoid random absurdity
* avoid inventing facts not implied by the source
* output only one headline.","Isla Vista Officials Unveil $250,000 Plan to Replace Deltopia With More Permitted Deltopia","Isla Vista Officials Unveil $250,000 Plan to Replace Deltopia With More Permitted Deltopia",2026-06-08T03:12:05.236684+00:00
local_satire_5ddb8d52ff,deltopia_alternative_001,gpt-5.4-mini,target_first_rank,"Write source-grounded Onion-style local satire from this campus/local source capsule.

Source title:
IVCSD elects new leadership, discusses plans for Deltopia alternative

Source date:
2026-01-22

Issue phrase:
Isla Vista officials planning a managed alternative to Deltopia

Facts:
* The Isla Vista Community Services District discussed plans for an alternative event to Deltopia after Santa Barbara County adopted a noise ordinance that effectively canceled the unsanctioned street festival.
* The proposed alternative event, working-named Novatopia, would include live music, art, markets, beer gardens, bathrooms, safety resources and multiple entertainment zones across downtown Isla Vista.
* IVCSD staff discussed wristbands for Isla Vista residents, event-lead applications, permits, safety planning, sponsorships and a budget above $250,000.
* One community member argued that if IVCSD hosts a festival on Deltopia weekend, it would effectively become Deltopia itself.
* The board also addressed parking compliance software and broader community governance issues at the same meeting.

Local tension:
Officials are trying to replace an unofficial student party tradition with a planned, permitted, safety-oriented event, while some community members worry the alternative may reproduce similar crowd and party dynamics.

Step 1: identify the satirical target in one short phrase.
Step 2: generate 5 candidate Onion-style local satire headlines.
Step 3: select the best using source relevance, local specificity, topic nuance/target, satirical bite, and coherence/non-randomness.

Output only:
Target: ...
Best headline: ...
Brief reason: ...","Isla Vista Officials Announce Deltopia Replacement That Is Somehow Even More Organized, Expensive, and Deltopia-Like","Target: Officials trying to bureaucratize a chaotic student party tradition into a permitted substitute

Best headline: Isla Vista Officials Announce Deltopia Replacement That Is Somehow Even More Organized, Expensive, and Deltopia-Like

Brief reason: It directly captures the local irony: a spontaneous, unofficial festival being replaced by a managed, permit-heavy version that still risks becoming the same event. It’s specific to Isla Vista, nods to the planned features and budget, and lands the satirical tension without feeling random.",2026-06-08T03:12:07.101839+00:00
local_satire_62380deb8a,ucsb_bear_sighting_001,gemini-3.5-flash,generic_issue,"Write one Onion-style local satire headline about this issue:
Issue: bear sightings near UCSB and Goleta prompting campus safety alerts
The headline should be funny, locally specific, and have a clear satirical target.
Output only one headline.",UCSB Administrators Assure Students That Bear Sighted Near Campus Lacks the GPA Required to Enter Davidson Library,UCSB Administrators Assure Students That Bear Sighted Near Campus Lacks the GPA Required to Enter Davidson Library,2026-06-08T03:12:08.199188+00:00
local_satire_f55ff3cd95,ucsb_bear_sighting_001,gemini-3.5-flash,source_grounded,"Write one Onion-style local satire headline based on the source below.

Source title:
Bear sightings reported at UCSB, Goleta

Facts:
* UCPD reported a black bear sighting near Pollock Theater and the Intercollegiate Athletics building early in the morning.
* UCPD sent an emergency alert asking students to avoid the area, then later lifted the request after an extensive search did not locate the bear.
* Other bear sightings were reported around Goleta and near Santa Ynez Apartments during the same week.
* UCPD said the California Department of Fish and Wildlife was notified and urged students and community members to be aware of their surroundings and report sightings.
* Campus safety guidance told people to make themselves appear large, make loud noises, avoid attracting smells and not feed the bear.

Local tension:
A campus usually organized around classes, alerts and student routines briefly had to treat wildlife behavior as a public-safety issue, creating a mismatch between bureaucratic emergency messaging and the absurd image of a bear wandering through familiar UCSB spaces.

Requirements:
* clearly grounded in the source issue
* specific to UCSB, Isla Vista, or Santa Barbara when appropriate
* clear satirical target
* avoid random absurdity
* avoid inventing facts not implied by the source
* output only one headline.",UCSB Emergency Alert Warns Students To Treat Bear With Same Avoidance Tactics Used For Campus Recruiters,UCSB Emergency Alert Warns Students To Treat Bear With Same Avoidance Tactics Used For Campus Recruiters,2026-06-08T03:12:09.553938+00:00
local_satire_a5d4395858,ucsb_bear_sighting_001,gemini-3.5-flash,target_first_rank,"Write source-grounded Onion-style local satire from this campus/local source capsule.

Source title:
Bear sightings reported at UCSB, Goleta

Source date:
2025-04-17

Issue phrase:
bear sightings near UCSB and Goleta prompting campus safety alerts

Facts:
* UCPD reported a black bear sighting near Pollock Theater and the Intercollegiate Athletics building early in the morning.
* UCPD sent an emergency alert asking students to avoid the area, then later lifted the request after an extensive search did not locate the bear.
* Other bear sightings were reported around Goleta and near Santa Ynez Apartments during the same week.
* UCPD said the California Department of Fish and Wildlife was notified and urged students and community members to be aware of their surroundings and report sightings.
* Campus safety guidance told people to make themselves appear large, make loud noises, avoid attracting smells and not feed the bear.

Local tension:
A campus usually organized around classes, alerts and student routines briefly had to treat wildlife behavior as a public-safety issue, creating a mismatch between bureaucratic emergency messaging and the absurd image of a bear wandering through familiar UCSB spaces.

Step 1: identify the satirical target in one short phrase.
Step 2: generate 5 candidate Onion-style local satire headlines.
Step 3: select the best using source relevance, local specificity, topic nuance/target, satirical bite, and coherence/non-randomness.

Output only:
Target: ...
Best headline: ...
Brief reason: ...","UCPD Warns Students Facing Black Bear Near Pollock Theater To Make Themselves Look Like A Large, Threatening Midterm Curve**","Target: The hyper-bureaucratic campus safety apparatus treating a standard woodland animal like an active, hostile threat to student productivity.

Best headline: **UCPD Warns Students Facing Black Bear Near Pollock Theater To Make Themselves Look Like A Large, Threatening Midterm Curve**

Brief reason: This headline perfectly captures the local tension by blending the absurdly generic ""make yourself look big"" wildlife safety advice with the actual, high-stress academic reality of UCSB students, highlighting the funny disconnect between official university panic and the student experience.",2026-06-08T03:12:11.195043+00:00
local_satire_cc047b1f97,ucsb_bear_sighting_001,gpt-5.4-mini,generic_issue,"Write one Onion-style local satire headline about this issue:
Issue: bear sightings near UCSB and Goleta prompting campus safety alerts
The headline should be funny, locally specific, and have a clear satirical target.
Output only one headline.","UCSB Issues Bear Alert, Reassures Students the Real Danger Is Still Finding Parking in Goleta","UCSB Issues Bear Alert, Reassures Students the Real Danger Is Still Finding Parking in Goleta",2026-06-08T03:12:12.375518+00:00
